"Ticker","Nome","Negócios","Última (R$)","Variação"
"PDGR3","PDG Realty","34.615.600","0,07","-46,15%"
"MGLU3","Magazine Luiza","32.721.500","9,15","-0,11%"
"AMBP3","Ambipar","27.231.800","1,40","-49,09%"
"ASAI3","Assaí","24.871.500","9,06","-2,16%"
"ITSA4","Itaúsa","22.795.700","11,22","+0,54%"
"BBDC4","Banco Bradesco","22.193.300","17,10","+0,06%"
"ABEV3","Ambev","21.785.000","11,87","-0,50%"
"COGN3","Cogna","21.087.500","3,21","+1,58%"
"PETR4","Petrobras","19.756.800","31,00","-0,26%"
"VALE3","Vale","19.240.200","58,59","-0,19%"
"ITUB4","Itaú Unibanco","17.249.500","38,21","+0,74%"
"RAIZ4","Raízen","16.534.100","1,01","+0,00%"
"BBAS3","Banco do Brasil","16.402.600","21,58","-0,83%"
"CSAN3","Cosan","16.174.700","6,10","+2,18%"
"MOTV3","Motiva","14.861.600","14,50","+0,76%"
"B3SA3","B3","14.804.900","12,75","-0,70%"
"MBRF3","Marfrig","14.200.900","18,20","-3,55%"
"RENT3","Localiza","13.704.700","39,00","+0,57%"
"GGBR4","Gerdau","12.692.300","17,50","+1,92%"
"PCAR3","Grupo Pão de Açúcar","11.746.800","3,85","-1,28%"
"RAIL3","Rumo","10.654.300","15,90","+0,00%"
"POMO4","Marcopolo","9.808.600","8,88","+1,14%"
"VAMO3","Grupo Vamos","9.680.600","3,24","-0,92%"
"RADL3","RaiaDrogasil","9.499.000","18,76","+4,51%"
"AZUL4","Azul","9.414.000","1,16","-0,85%"
"CVCB3","CVC","8.885.400","1,80","+0,00%"
"UGPA3","Ultrapar","8.811.500","20,97","-1,08%"
"ENEV3","Eneva","8.444.400","16,59","+0,36%"
"WEGE3","WEG","7.971.200","36,40","+0,75%"
"AURE3","Auren Energia","7.764.300","10,37","+2,78%"
"AZEV4","Azevedo & Travassos","7.713.100","0,43","-8,51%"
"CPLE6","Copel","7.346.200","12,65","+0,32%"
"NATU3","NATURA","7.242.800","8,92","-1,11%"
"PETR3","Petrobras","7.076.300","33,07","-0,75%"
